Source Name,ArrayExpress_Accession,Cell Type,Dir
2i_3_37,ERR1211212,2i,/home/s2321661/Test/align/ERR1211212/ERR1211212_Aligned.sortedByCoord.out.bam
2i_3_38,ERR1211213,2i,/home/s2321661/Test/align/ERR1211213/ERR1211213_Aligned.sortedByCoord.out.bam
2i_3_39,ERR1211214,2i,/home/s2321661/Test/align/ERR1211214/ERR1211214_Aligned.sortedByCoord.out.bam
2i_3_4,ERR1211179,2i,/home/s2321661/Test/align/ERR1211179/ERR1211179_Aligned.sortedByCoord.out.bam
2i_3_40,ERR1211215,2i,/home/s2321661/Test/align/ERR1211215/ERR1211215_Aligned.sortedByCoord.out.bam
2i_3_41,ERR1211216,2i,/home/s2321661/Test/align/ERR1211216/ERR1211216_Aligned.sortedByCoord.out.bam
2i_3_42,ERR1211217,2i,/home/s2321661/Test/align/ERR1211217/ERR1211217_Aligned.sortedByCoord.out.bam
2i_3_43,ERR1211218,2i,/home/s2321661/Test/align/ERR1211218/ERR1211218_Aligned.sortedByCoord.out.bam
2i_3_44,ERR1211219,2i,/home/s2321661/Test/align/ERR1211219/ERR1211219_Aligned.sortedByCoord.out.bam
2i_3_45,ERR1211220,2i,/home/s2321661/Test/align/ERR1211220/ERR1211220_Aligned.sortedByCoord.out.bam
2i_3_46,ERR1211221,2i,/home/s2321661/Test/align/ERR1211221/ERR1211221_Aligned.sortedByCoord.out.bam
2i_3_47,ERR1211222,2i,/home/s2321661/Test/align/ERR1211222/ERR1211222_Aligned.sortedByCoord.out.bam
2i_3_48,ERR1211223,2i,/home/s2321661/Test/align/ERR1211223/ERR1211223_Aligned.sortedByCoord.out.bam
2i_3_49,ERR1211224,2i,/home/s2321661/Test/align/ERR1211224/ERR1211224_Aligned.sortedByCoord.out.bam
2i_3_5,ERR1211180,2i,/home/s2321661/Test/align/ERR1211180/ERR1211180_Aligned.sortedByCoord.out.bam
2i_3_50,ERR1211225,2i,/home/s2321661/Test/align/ERR1211225/ERR1211225_Aligned.sortedByCoord.out.bam
2i_3_51,ERR1211226,2i,/home/s2321661/Test/align/ERR1211226/ERR1211226_Aligned.sortedByCoord.out.bam
2i_3_52,ERR1211227,2i,/home/s2321661/Test/align/ERR1211227/ERR1211227_Aligned.sortedByCoord.out.bam
2i_3_53,ERR1211228,2i,/home/s2321661/Test/align/ERR1211228/ERR1211228_Aligned.sortedByCoord.out.bam
2i_3_54,ERR1211229,2i,/home/s2321661/Test/align/ERR1211229/ERR1211229_Aligned.sortedByCoord.out.bam
2i_3_55,ERR1211230,2i,/home/s2321661/Test/align/ERR1211230/ERR1211230_Aligned.sortedByCoord.out.bam
2i_3_56,ERR1211231,2i,/home/s2321661/Test/align/ERR1211231/ERR1211231_Aligned.sortedByCoord.out.bam
2i_3_57,ERR1211232,2i,/home/s2321661/Test/align/ERR1211232/ERR1211232_Aligned.sortedByCoord.out.bam
2i_3_58,ERR1211233,2i,/home/s2321661/Test/align/ERR1211233/ERR1211233_Aligned.sortedByCoord.out.bam
2i_3_59,ERR1211234,2i,/home/s2321661/Test/align/ERR1211234/ERR1211234_Aligned.sortedByCoord.out.bam
2i_3_6,ERR1211181,2i,/home/s2321661/Test/align/ERR1211181/ERR1211181_Aligned.sortedByCoord.out.bam
2i_3_60,ERR1211235,2i,/home/s2321661/Test/align/ERR1211235/ERR1211235_Aligned.sortedByCoord.out.bam
2i_3_61,ERR1211236,2i,/home/s2321661/Test/align/ERR1211236/ERR1211236_Aligned.sortedByCoord.out.bam
2i_3_62,ERR1211237,2i,/home/s2321661/Test/align/ERR1211237/ERR1211237_Aligned.sortedByCoord.out.bam
2i_3_63,ERR1211238,2i,/home/s2321661/Test/align/ERR1211238/ERR1211238_Aligned.sortedByCoord.out.bam
2i_3_64,ERR1211239,2i,/home/s2321661/Test/align/ERR1211239/ERR1211239_Aligned.sortedByCoord.out.bam
2i_3_65,ERR1211240,2i,/home/s2321661/Test/align/ERR1211240/ERR1211240_Aligned.sortedByCoord.out.bam
2i_3_66,ERR1211241,2i,/home/s2321661/Test/align/ERR1211241/ERR1211241_Aligned.sortedByCoord.out.bam
2i_3_67,ERR1211242,2i,/home/s2321661/Test/align/ERR1211242/ERR1211242_Aligned.sortedByCoord.out.bam
2i_3_68,ERR1211243,2i,/home/s2321661/Test/align/ERR1211243/ERR1211243_Aligned.sortedByCoord.out.bam
2i_3_69,ERR1211244,2i,/home/s2321661/Test/align/ERR1211244/ERR1211244_Aligned.sortedByCoord.out.bam
2i_3_7,ERR1211182,2i,/home/s2321661/Test/align/ERR1211182/ERR1211182_Aligned.sortedByCoord.out.bam
2i_3_70,ERR1211245,2i,/home/s2321661/Test/align/ERR1211245/ERR1211245_Aligned.sortedByCoord.out.bam
2i_3_71,ERR1211246,2i,/home/s2321661/Test/align/ERR1211246/ERR1211246_Aligned.sortedByCoord.out.bam
2i_3_72,ERR1211247,2i,/home/s2321661/Test/align/ERR1211247/ERR1211247_Aligned.sortedByCoord.out.bam
2i_3_73,ERR1211248,2i,/home/s2321661/Test/align/ERR1211248/ERR1211248_Aligned.sortedByCoord.out.bam
2i_3_74,ERR1211249,2i,/home/s2321661/Test/align/ERR1211249/ERR1211249_Aligned.sortedByCoord.out.bam
2i_3_75,ERR1211250,2i,/home/s2321661/Test/align/ERR1211250/ERR1211250_Aligned.sortedByCoord.out.bam
2i_3_76,ERR1211251,2i,/home/s2321661/Test/align/ERR1211251/ERR1211251_Aligned.sortedByCoord.out.bam
2i_3_77,ERR1211252,2i,/home/s2321661/Test/align/ERR1211252/ERR1211252_Aligned.sortedByCoord.out.bam
2i_3_78,ERR1211253,2i,/home/s2321661/Test/align/ERR1211253/ERR1211253_Aligned.sortedByCoord.out.bam
2i_3_79,ERR1211254,2i,/home/s2321661/Test/align/ERR1211254/ERR1211254_Aligned.sortedByCoord.out.bam
2i_3_8,ERR1211183,2i,/home/s2321661/Test/align/ERR1211183/ERR1211183_Aligned.sortedByCoord.out.bam
2i_3_80,ERR1211255,2i,/home/s2321661/Test/align/ERR1211255/ERR1211255_Aligned.sortedByCoord.out.bam
2i_3_81,ERR1211256,2i,/home/s2321661/Test/align/ERR1211256/ERR1211256_Aligned.sortedByCoord.out.bam
2i_3_82,ERR1211257,2i,/home/s2321661/Test/align/ERR1211257/ERR1211257_Aligned.sortedByCoord.out.bam
2i_3_83,ERR1211258,2i,/home/s2321661/Test/align/ERR1211258/ERR1211258_Aligned.sortedByCoord.out.bam
2i_3_84,ERR1211259,2i,/home/s2321661/Test/align/ERR1211259/ERR1211259_Aligned.sortedByCoord.out.bam
2i_3_85,ERR1211260,2i,/home/s2321661/Test/align/ERR1211260/ERR1211260_Aligned.sortedByCoord.out.bam
2i_3_86,ERR1211261,2i,/home/s2321661/Test/align/ERR1211261/ERR1211261_Aligned.sortedByCoord.out.bam
2i_3_87,ERR1211262,2i,/home/s2321661/Test/align/ERR1211262/ERR1211262_Aligned.sortedByCoord.out.bam
2i_3_88,ERR1211263,2i,/home/s2321661/Test/align/ERR1211263/ERR1211263_Aligned.sortedByCoord.out.bam
2i_3_89,ERR1211264,2i,/home/s2321661/Test/align/ERR1211264/ERR1211264_Aligned.sortedByCoord.out.bam
2i_3_9,ERR1211184,2i,/home/s2321661/Test/align/ERR1211184/ERR1211184_Aligned.sortedByCoord.out.bam
2i_3_90,ERR1211265,2i,/home/s2321661/Test/align/ERR1211265/ERR1211265_Aligned.sortedByCoord.out.bam
2i_3_91,ERR1211266,2i,/home/s2321661/Test/align/ERR1211266/ERR1211266_Aligned.sortedByCoord.out.bam
2i_3_92,ERR1211267,2i,/home/s2321661/Test/align/ERR1211267/ERR1211267_Aligned.sortedByCoord.out.bam
2i_3_93,ERR1211268,2i,/home/s2321661/Test/align/ERR1211268/ERR1211268_Aligned.sortedByCoord.out.bam
2i_3_94,ERR1211269,2i,/home/s2321661/Test/align/ERR1211269/ERR1211269_Aligned.sortedByCoord.out.bam
2i_3_95,ERR1211270,2i,/home/s2321661/Test/align/ERR1211270/ERR1211270_Aligned.sortedByCoord.out.bam
2i_3_96,ERR1211271,2i,/home/s2321661/Test/align/ERR1211271/ERR1211271_Aligned.sortedByCoord.out.bam
2i_30,ERR522995,2i,/home/s2321661/Test/align/ERR522995/ERR522995_Aligned.sortedByCoord.out.bam
2i_31,ERR523204,2i,/home/s2321661/Test/align/ERR523204/ERR523204_Aligned.sortedByCoord.out.bam
2i_32,ERR522902,2i,/home/s2321661/Test/align/ERR522902/ERR522902_Aligned.sortedByCoord.out.bam
2i_33,ERR523037,2i,/home/s2321661/Test/align/ERR523037/ERR523037_Aligned.sortedByCoord.out.bam
2i_34,ERR523060,2i,/home/s2321661/Test/align/ERR523060/ERR523060_Aligned.sortedByCoord.out.bam
2i_35,ERR523142,2i,/home/s2321661/Test/align/ERR523142/ERR523142_Aligned.sortedByCoord.out.bam
2i_36,ERR523113,2i,/home/s2321661/Test/align/ERR523113/ERR523113_Aligned.sortedByCoord.out.bam
2i_37,ERR522901,2i,/home/s2321661/Test/align/ERR522901/ERR522901_Aligned.sortedByCoord.out.bam
2i_38,ERR522864,2i,/home/s2321661/Test/align/ERR522864/ERR522864_Aligned.sortedByCoord.out.bam
2i_39,ERR522847,2i,/home/s2321661/Test/align/ERR522847/ERR522847_Aligned.sortedByCoord.out.bam
2i_4,ERR523180,2i,/home/s2321661/Test/align/ERR523180/ERR523180_Aligned.sortedByCoord.out.bam
2i_4_1,ERR1211464,2i,/home/s2321661/Test/align/ERR1211464/ERR1211464_Aligned.sortedByCoord.out.bam
2i_4_10,ERR1211473,2i,/home/s2321661/Test/align/ERR1211473/ERR1211473_Aligned.sortedByCoord.out.bam
2i_4_11,ERR1211474,2i,/home/s2321661/Test/align/ERR1211474/ERR1211474_Aligned.sortedByCoord.out.bam
2i_4_12,ERR1211475,2i,/home/s2321661/Test/align/ERR1211475/ERR1211475_Aligned.sortedByCoord.out.bam
2i_4_13,ERR1211476,2i,/home/s2321661/Test/align/ERR1211476/ERR1211476_Aligned.sortedByCoord.out.bam
2i_4_14,ERR1211477,2i,/home/s2321661/Test/align/ERR1211477/ERR1211477_Aligned.sortedByCoord.out.bam
2i_4_15,ERR1211478,2i,/home/s2321661/Test/align/ERR1211478/ERR1211478_Aligned.sortedByCoord.out.bam
2i_4_16,ERR1211479,2i,/home/s2321661/Test/align/ERR1211479/ERR1211479_Aligned.sortedByCoord.out.bam
2i_4_17,ERR1211480,2i,/home/s2321661/Test/align/ERR1211480/ERR1211480_Aligned.sortedByCoord.out.bam
2i_4_18,ERR1211481,2i,/home/s2321661/Test/align/ERR1211481/ERR1211481_Aligned.sortedByCoord.out.bam
2i_4_19,ERR1211482,2i,/home/s2321661/Test/align/ERR1211482/ERR1211482_Aligned.sortedByCoord.out.bam
2i_4_2,ERR1211465,2i,/home/s2321661/Test/align/ERR1211465/ERR1211465_Aligned.sortedByCoord.out.bam
2i_4_20,ERR1211483,2i,/home/s2321661/Test/align/ERR1211483/ERR1211483_Aligned.sortedByCoord.out.bam
2i_4_21,ERR1211484,2i,/home/s2321661/Test/align/ERR1211484/ERR1211484_Aligned.sortedByCoord.out.bam
